0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279
,TOBACCO,NICOTINE,Delivery,Tar,Hippocampus,Nucleus accumbens,Engaged,Drug Administration,Source,Manipulation,Infusion,Reinforcement,Plasma,Opioid,Smoke,Chronic pain,Analgesic,Acute pain,Pain threshold,Sex,Comorbid conditions,Impairment,Analgesia,Prescription,Neurotransmitter,Cytochrome P450 enzyme,Behavioral therapy,Intervention,Dopamine,Release,Pain,Tobacco use,Exposure,Coronary artery disease,Cancer,Oral,Extraction,Separation,Glycopeptide,Tissue,Carboxylic acid,Bright,Acetate,Malic acid,Coal,Neurological disorders,Disorder,Alcohol,Adopted,Insecticide,Joint,Inflammation,Hyperalgesia,Capsaicin,Sensitivity,HB,Head,Honey,Glycerin,Cut,Artificial saliva,Abuse,Relapse prevention,Immune,Central nervous system,Tyramine,Schizophrenia,Alzheimer's disease,Parkinson's disease,Tourette's syndrome,Ulcerative colitis,Auxin,Wound,T1,T2,T3,Mouth,Antibody,Inflation,Coordinated,Motor area,Laboratory test,Menthol,Trigeminal nerve,Carbon monoxide,Enzyme,Chronic pancreatitis,Pancreatic cancer,Pancreatitis,Nylon,New finding,Pyridine,Salt,Ammonia,Culture,Assisting,Catecholamine,Aids,Discussion,Glucose,Burns,Personality traits,Diagnosis,Employment status,Reporting,Gas-liquid chromatography,Amino acid,Hypoxia,Glutamate decarboxylase,ETHYLENE,Disability,Smoker,Callus,Mineral,Caffeine,Complement,Methadone,Injury prevention,Pulmonary,Dr,Assay,Oral mucosa,Mass,Risk assessment,Blood pressure,Stillbirth,Placental abruption,Sudden infant death,Obesity,Vomiting,Prostration,Causative agent,Urine sample,HPLC,Confusion,Leukemia,Spectrometry,Construction,Hypertension,Sodium,Cardiac failure,Blocking,Emission,J2,Infection,Closed fracture,Mass spectrometry,Clinical evaluation,Relief,Abstinent,Absence,Surveillance,Carcinogen,Cigarette smoker,Education,Strains,PH,Nicotine dependence,Prevention,Reduction,Gum,Blood,Nornicotine,Increased heart rate,Transdermal,Suppression,Blood sampling,Lightheadedness,Cotinine,Urine,Vaccines,Clinical trials,Addiction,Death,Nicotine replacement therapy,Brain,Tobacco smoke,Tobacco dependence,Alkaloid,Sickness,Skin,Sampling,Decontamination,Hand,Left hand,Water,History of,Difficulty,Stopped smoking,Irritability,Anxiety,Restlessness,Hunger,Insomnia,Heart,Independent,Positive,Generalized itching,Urticaria,Skin prick test,Dyspnoea,Allergen,Nicotine withdrawal,Negative,Nausea,Dizziness,Air,Tobacco dust,Atrazine,Herbicide,Headache,Perspiration,Metabolite,Fracture,Femoral,Stiffness,Bone,Damage,Stress,Ovary,Oxygen,Glutathione,Malondialdehyde,MDA,Media,Superoxide dismutase,Catalase,N-acetyl-L-cysteine,Lactate dehydrogenase,Nicotinic receptor,Acetylcholine receptor,Dentate gyrus,Mecamylamine,Exposed to tobacco smoke,Receptor,Positron emission tomography,Carfentanil,Venous plasma,Amygdala,Insula,Putamen,Anabasine,Enhancement,Elevation,Stimulant,Replacement,Bupropion,Varenicline,Behavioral counseling,Pregnant,Nortriptyline,Clonidine,Norepinephrine,5-hydroxytryptamine,Acetylcholine,Gamma-aminobutyric acid,Glutamate,Therapy,Patch,Withdrawn,Hormone,Cortisol,Prolactin,Beta-endorphin,Venous blood,Serum,Nasal,Probable,Camphor,Coumarin,Eugenol,Healthy adult,Cerebellum,Thalamus,Cardiovascular disease,P-selectin,Adhesion,Fibrinogen,Cigarette smoke
TOBACCO,,94,13,4,2,3,3,3,3,3,2,3,9,2,11,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,23,23,3,4,9,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,2,1,2,3,9,12,5,7,8,6,6,2,1,1,1,1,10,7,4,5,11,4,8,7,8,9,8,4,2,2,1,1,1,5,3,4,1,1,1,3,2,1,2,5,1,,,,,,3,5,5,2,1,1,1,1,1,1,3,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,,,,3,1,1,2,2,1,1,5,3,1,1,4,1,2,1,1,1,1,,,,1,,5,4,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
NICOTINE,94,,13,4,3,3,3,3,3,3,2,3,10,3,12,2,1,1,1,1,1,1,1,1,2,1,1,1,4,5,3,23,25,3,4,9,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,2,1,1,3,9,15,5,7,8,6,6,2,1,1,1,1,11,7,4,5,11,4,8,10,12,9,8,4,2,2,1,1,1,5,3,4,1,1,1,3,2,1,2,5,2,1,1,1,1,1,5,7,5,2,2,1,1,1,1,1,3,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,3,1,1,2,2,1,1,5,3,1,1,5,2,2,1,1,1,1,1,1,1,2,1,5,5,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
Delivery,13,13,,3,1,1,1,2,,2,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,1,2,,1,1,,,,,,,,,,3,2,,1,4,2,1,,,,,,,2,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,,,,,
Tar,4,4,3,,1,1,1,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,2,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
Hippocampus,2,3,1,1,,2,,,,,,,2,1,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
Nucleus accumbens,3,3,1,1,2,,,,,,,,2,1,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,
Engaged,3,3,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Administration,3,3,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
