0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279
0,TOBACCO,Neurotransmitter,Glycopeptide,Mass spectrometry,Carcinogen,Carboxylic acid,Acetate,Coal,Vaccines,Alcohol,Insecticide,Metabolite,HB,Auxin,Spectrometry,Antibody,Pyridine,Cortisol,Catecholamine,Glucose,Atrazine,Herbicide,Amino acid,Fibrinogen,Complement,Nicotine product,Opioid,Alkaloid,Water,Carfentanil,Bupropion,Acetylcholine,Analgesic,Hormone,Allergen,Sodium,Ammonia,Stimulant,Nortriptyline,MDA,Caffeine,Methadone,Delivery,Release,Manipulation,Infusion,Reinforcement,Enhancement,Inflation,Skin prick test,Blood sampling,Elevation,Tar,Honey,Glycerin,Artificial saliva,Norepinephrine,Air,Varenicline,Eugenol,Oxygen,Glutathione,Engaged,Prescription,Behavioral therapy,Intervention,Extraction,Prevention,Drug Administration,Assessment,Addiction,Death,Nicotine replacement therapy,Adopted,Stillbirth,Sampling,Stopped smoking,Relapse prevention,Immune,HPLC,Positron emission tomography,T1,T2,Construction,Therapy,Pain threshold,Laboratory test,Nylon,New finding,Culture,Assisting,Discussion,Personality traits,Employment status,Reporting,Gas-liquid chromatography,Plasma,Blood,Urine,Venous plasma,Serum,Venous blood,Smoke,Tobacco Smoke,Cigarette smoke,Chronic pain,Pain,Acute pain,Headache,Stiffness,Dopamine,T3,5-hydroxytryptamine,Gamma-aminobutyric acid,Glutamate,Prolactin,Beta-endorphin,Clonidine,Cytochrome P450 enzyme,Assay,Obesity,Restlessness,Hunger,Negative,Abuse,Impairment,Urticaria,Dyspnoea,Pregnant,Perspiration,J2,P-selectin,Disability,Tobacco use,Exposed to tobacco smoke,Exposure,Cut,Abstinent,Wound,Strain,Probable,Callus,Closed fracture,Coronary artery disease,Cancer,Mass,Increased heart rate,Neurological disorders,Disorder,Insomnia,Nausea,Vomiting,Alzheimer's disease,Hypertension,Cardiac failure,Pancreatic cancer,Diagnosis,Hypoxia,Cardiovascular disease,Dr,Oral,Transdermal,Pulmonary,Separation,Inflammation,Damage,Absence,Patch,Burns,Adhesion,Fracture,Surveillance,Risk assessment,Decontamination,Clinical trials,Behavioral counseling,Injury prevention,PH,Blood pressure,History of,Positive,Sensitivity,Causative agent,Urine sample,Schizophrenia,Nicotine dependence,Tobacco dependence,Nicotine withdrawal,Cigarette smoker,Smoker,Education,Bright,Difficulty,Independent,Mineral,Reduction,Oral mucosa,Gum,Tissue,Brain,Skin,Joint,Heart,Head,Central nervous system,Mouth,Trigeminal nerve,Enzyme,Nasal,Glutamate decarboxylase,Ovary,Media,Femoral,Bone,Nornicotine,Cotinine,Capsaicin,Mecamylamine,Anabasine,Menthol,Salt,Camphor,Coumarin,ETHYLENE,N-acetyl-L-cysteine,Source,Ulcerative colitis,Leukemia,Chronic pancreatitis,Pancreatitis,Aids,Infection,Malic acid,Tyramine,Malondialdehyde,Placental abruption,Sex,Emission,Sudden infant death,Illness,Dizziness,Prostration,Comorbid conditions,Lightheadedness,Healthy adult,Hand,Left hand,Irritability,Anxiety,Relief,Confusion,Withdrawn,Stress,Blocking,Hyperalgesia,Analgesia,Generalized itching,Nicotinic receptor,Acetylcholine receptor,Receptor,Dentate gyrus,Hippocampus,Amygdala,Insula,Putamen,Motor area,Nucleus accumbens,Cerebellum,Thalamus,Parkinson's disease,Tourette's syndrome,Replacement,Coordinated,Carbon monoxide,Suppression,Tobacco dust,Superoxide dismutase,Catalase,Lactate dehydrogenase
TOBACCO,0,1,1,2,2,1,1,1,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,94,2,8,5,1,1,0,1,2,0,1,1,1,1,1,1,1,13,5,3,2,3,3,1,0,1,1,4,1,1,1,0,1,2,1,1,1,3,1,1,1,5,5,3,3,11,4,8,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,0,2,1,1,1,1,1,1,9,6,7,2,4,1,11,8,1,2,3,1,1,2,3,1,0,1,0,1,1,1,1,2,1,3,2,5,2,1,0,0,1,1,1,1,1,23,0,23,1,3,1,3,1,1,1,3,4,2,2,1,1,1,5,1,1,1,1,1,1,1,1,1,9,1,1,1,1,2,2,4,1,1,2,3,1,1,5,1,1,9,2,3,1,1,1,1,1,12,9,3,1,1,2,1,4,5,1,7,1,8,1,7,2,1,2,1,1,1,1,1,1,1,1,1,2,2,6,10,1,0,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,2,1,2,4,1,1,1,0,1,1,3,0,2,2,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1
Neurotransmitter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Glycopeptide,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mass spectrometry,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carcinogen,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carboxylic acid,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetate,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccines,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
