0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279
,TOBACCO,Nicotine,Neurotransmitter,Prescription,Behavioral therapy,Intervention,Cytochrome P450 enzyme,Dopamine,Opioid,Glycopeptide,Carboxylic acid,Acetate,Coal,Alcohol,Pyridine,Stimulant,Pancreatic cancer,Diagnosis,Insecticide,Honey,Menthol,Catecholamine,Amino acid,Caffeine,Adopted,Artificial saliva,ETHYLENE,Methadone,Relapse prevention,Inflation,Elevation,Assisting,Discussion,Reporting,Assay,Blood pressure,Stillbirth,Obesity,Causative agent,HB,Abuse,Immune,Urine sample,HPLC,Schizophrenia,Antibody,Laboratory test,Employment status,Gas-liquid chromatography,Disability,Mineral,Complement,Cigarette smoker,Smoker,Cut,Burn,Callus,Closed fracture,Neurological disorders,Disorder,Placental abruption,Alzheimer's disease,Parkinson's disease,Tourette's syndrome,Aids,Hypoxia,Infection,Dr,Pulmonary,Bright,Nylon,New finding,Culture,Personality traits,J2,Separation,Risk assessment,Injury prevention,Oral mucosa,Tissue,Joint,Central nervous system,Mouth,Trigeminal nerve,Glycerin,Salt,Malic acid,Tyramine,Glucose,Sudden infant death,Head,Prostration,Confusion,Blocking,Coordinated,Vomiting,Ulcerative colitis,Chronic pancreatitis,Pancreatitis,Motor area,Emission,Carbon monoxide,Ammonia,Enzyme,Glutamate decarboxylase,Carcinogen,Education,Surveillance,Cotinine,Vaccines,Clinical trial,Alkaloid,Metabolite,Stiffness,Fracture,Femoral,Bone,Mecamylamine,Nicotinic receptor,Acetylcholine receptor,Dentate gyrus,Auxin,T3,Wound,T1,T2,Hormone,Beta-endorphin,Cortisol,Prolactin,Venous blood,Withdrawn,Coumarin,Eugenol,Probable,Camphor,Nasal,Nortriptyline,Clonidine,Varenicline,Pregnant,Behavioral counseling,Bupropion,Fibrinogen,Cigarette smoke,P-selectin,Cardiovascular disease,Adhesion,Delivery,Cancer,Source,Manipulation,Reinforcement,Enhancement,Strains,Infusion,Leukemia,Construction,Spectrometry,Mass,Tar,Engaged,Drug Administration,Plasma,Norepinephrine,5-hydroxytryptamine,Acetylcholine,Gamma-aminobutyric acid,Glutamate,Air,Headache,Dizziness,Tobacco dust,Atrazine,Herbicide,Perspiration,Oxygen,Damage,N-acetyl-L-cysteine,Glutathione,Malondialdehyde,Ovary,Media,MDA,Superoxide dismutase,Catalase,Lactate dehydrogenase,Carfentanil,Positron emission tomography,Venous plasma,Receptor,Insula,Putamen,Analgesic,Chronic pain,Pain,Acute pain,Pain tolerance,Impairment,Comorbid conditions,Analgesia,Sex,Smoke,Tobacco smoke,Release,Prevention,Reduction,Nicotine replacement therapy,Replacement,Therapy,Skin prick test,Allergen,Urticaria,Positive,Dyspnoea,Generalized itching,Blood sampling,Increased heart rate,Transdermal,Lightheadedness,Suppression,Mass spectrometry,Assessment,Abstinent,Absence,Relief,History of,Difficulty,Insomnia,Stopped smoking,Heart,Irritability,Anxiety,Restlessness,Hunger,Independent,Inflammation,Sensitivity,Capsaicin,Hyperalgesia,Tobacco use,Exposed to tobacco smoke,Exposure,Coronary artery disease,Hypertension,Cardiac failure,Sodium,Nicotine dependence,Oral,Extraction,PH,Addiction,Tobacco dependence,Sampling,Decontamination,Skin,Left hand,Hand,Sickness,Water,Negative,Patch,Gum,Nucleus accumbens,Hippocampus,Amygdala,Cerebellum,Thalamus,Healthy adult,Blood,Urine,Serum,Nornicotine,Anabasine,Death,Brain,Stress,Nicotine withdrawal,Nausea
TOBACCO,,94,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,10,4,5,8,3,2,2,2,2,,1,1,,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,13,4,3,3,3,3,3,2,1,1,1,2,4,3,3,9,,,,1,,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,3,1,1,1,1,1,1,11,8,5,5,7,8,4,5,,,,1,,,1,2,1,1,1,2,3,3,2,2,3,4,1,1,2,1,1,3,2,5,1,1,1,1,23,,23,3,1,1,1,12,9,5,9,11,9,2,1,2,1,1,4,5,5,4,8,3,2,2,1,1,1,6,7,4,6,5,4,7,4,3,5
Nicotine,94,,2,1,1,1,1,4,3,1,1,1,1,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,1,1,1,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,11,4,5,8,3,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,13,4,3,3,3,3,3,2,1,1,1,2,4,3,3,10,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,2,3,1,1,1,1,1,1,12,12,5,5,7,8,5,5,1,1,1,2,1,1,1,2,1,1,1,2,3,3,2,2,3,4,1,1,2,1,1,3,2,5,1,1,1,1,23,3,25,3,1,1,1,15,9,5,9,11,9,2,1,2,1,1,4,5,7,5,8,3,3,2,1,1,1,6,7,4,6,5,4,10,4,5,5
Neurotransmitter,1,2,,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Prescription,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavioral therapy,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intervention,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytochrome P450 enzyme,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dopamine,3,4,2,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,
Opioid,2,3,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,,,,,2,,2,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,2,,,
