0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339
,Tobacco,Neurotransmitter,Dopamine,Carcinogen,Carboxylic acid,Acetate,Coal,Vaccine,Alcohol,Alkaloid,Metabolite,HB,Auxin,Antibody,Hormone,Pyridine,Coumarin,Cortisol,Herbicide,Nicotine product,Nornicotine,Malic acid,Cotinine,Mecamylamine,Anabasine,Tyramine,Bupropion,Varenicline,Menthol,Atrazine,Malondialdehyde,Delivery,Positron emission tomography,Infusion,Enhancement,Inflation,Skin prick test,Blood sampling,Tar,Glycopeptide,Insecticide,Water,Honey,T3,Norepinephrine,Acetylcholine,Air,Sodium,Salt,Ammonia,Stimulant,Camphor,Eugenol,Prolactin,Nortriptyline,Clonidine,Catecholamine,Glucose,Amino acid,ETHYLENE,Glutathione,MDA,N-acetyl-L-cysteine,Engaged,Education,Reduction,Blood pressure,Addiction,Adopted,Stopped smoking,Positive,Negative,Immune,Abstinent,Replacement,Pain tolerance,New finding,Personality traits,J2,Disability,Blood plasma,Blood,Urine,Venous plasma,Serum,Venous blood,Opioid,Carfentanil,Analgesic,Methadone,Smoke,Cytochrome P450 enzyme,Extraction,Assay,Drug Administration,Nicotine replacement therapy,Tobacco Smoke,Stillbirth,Sampling,History of,Causative agent,Artificial saliva,Abuse,Urine sample,HPLC,Schizophrenia,Therapy,Laboratory test,Allergen,Culture,Probable,Pregnant,Employment status,Gas-liquid chromatography,Cigarette smoke,Mineral,Chronic pain,Pain,Hyperalgesia,Acute pain,Analgesia,Coordinated,Generalized itching,Headache,Stiffness,Prescription,Release,Manipulation,Reinforcement,Construction,Nylon,Elevation,Tobacco use,Cigarette smoker,Exposed to tobacco smoke,Smoker,Behavioral therapy,Intervention,Surveillance,Prevention,Risk assessment,Investigations,Decontamination,Relapse prevention,Clinical trial,Assisting,Behavioral counseling,Discussion,Reporting,Injury prevention,Exposure,Urticaria,Strain,Callus,Coronary artery disease,Increased heart rate,Placental abruption,Sex,Hypertension,Cardiac failure,Emission,Perspiration,Cardiovascular disease,Oral,Transdermal,Pulmonary,Cancer,Source,Leukemia,Pancreatic cancer,Diagnosis,Separation,Mass,Damage,Cut,Wound,Absence,Patch,Burn,Fracture,Closed fracture,Mass spectrometry,Spectrometry,PH,Sensitivity,Nicotine dependence,Tobacco dependence,Nicotine withdrawal,Oral mucosa,Gum,Tissue,Brain,Skin,Joint,Hand,Left hand,Heart,Head,Central nervous system,Mouth,Trigeminal nerve,Nasal,Ovary,Media,Femoral,Bone,Bright,Death,Irritability,Anxiety,Restlessness,Hunger,Relief,Confusion,Withdrawn,Stress,Dyspnoea,Blocking,Neurological disorders,Disorder,Insomnia,Nausea,Vomiting,Ulcerative colitis,Chronic pancreatitis,Pancreatitis,Aids,Hypoxia,Infection,Sudden infant death,Obesity,Alzheimer's disease,Parkinson's disease,Tourette's syndrome,Sickness,Dizziness,Prostration,Comorbid conditions,Impairment,Lightheadedness,Healthy adult,Difficulty,Independent,Inflammation,Capsaicin,Glycerin,5-hydroxytryptamine,Beta-endorphin,Caffeine,Nicotinic receptor,Acetylcholine receptor,Receptor,Dentate gyrus,Hippocampus,Insula,Motor area,Amygdala,Nucleus accumbens,Putamen,Cerebellum,Thalamus,T1,T2,Gamma-aminobutyric acid,Glutamate,Carbon monoxide,Oxygen,Enzyme,Glutamate decarboxylase,Suppression,Tobacco dust,Dr,P-selectin,Fibrinogen,Complement,Adhesion,Superoxide dismutase,Catalase,Lactate dehydrogenase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobacco,,1,3,2,1,1,1,4,2,8,3,1,1,1,2,1,1,1,1,94,6,1,10,,5,1,1,2,1,1,1,13,1,2,3,1,,1,4,1,1,5,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,7,2,11,1,1,1,5,1,3,4,1,,1,1,1,9,6,7,2,4,1,2,1,1,1,11,1,5,2,3,8,8,1,2,3,1,1,2,1,1,1,5,1,,2,1,1,1,1,1,1,2,3,1,1,1,1,,1,2,1,5,3,3,1,1,1,23,1,,1,1,1,3,5,1,3,1,1,5,1,1,1,1,1,23,,3,1,3,2,1,1,1,1,1,1,1,9,1,1,4,3,1,1,1,1,2,2,1,1,2,4,1,2,1,2,1,9,1,12,9,3,1,8,1,7,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,4,1,1,3,2,2,1,2,4,,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,4,5,1,1,1,,1,1,1,1,3,,2,1,1,2,3,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neurotransmitter,1,,2,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dopamine,3,2,,,,,,,,,,,,,1,,,1,,4,,,,,,,1,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,2,,,,,,1,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carcinogen,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carboxylic acid,1,,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetate,1,,,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,1,,,,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaccine,4,,,,,,,,,,,,,1,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcohol,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
