0,1
concepts,frequency
TOBACCO,95
NICOTINE,99
Addiction,11
Discussion,1
Plasma,10
Smoke,12
Burns,1
Exposure,25
Blood,6
Cotinine,11
Confusion,1
Neurological disorders,1
Vaccines,4
Difficulty,4
Abuse,2
Brain,10
Tobacco dependence,9
Therapy,5
Absence,2
Varenicline,2
Antibody,1
PH,9
Strains,3
Culture,2
Tobacco use,23
Coronary artery disease,3
Cancer,4
Hypertension,1
Sodium,1
Cardiac failure,1
Engaged,3
Oral,9
Dr,1
Stress,4
Pyridine,1
Salt,1
Prevention,5
Drug Administration,3
Complement,1
Methadone,1
Injury prevention,1
Reduction,7
Enhancement,3
Glucose,1
Death,4
Nicotine replacement therapy,8
Bupropion,2
Behavioral counseling,1
Pregnant,1
Nortriptyline,1
Clonidine,1
Assay,2
Urine,7
Urine sample,1
HPLC,1
Nicotine dependence,15
Increased heart rate,2
Heart,2
Independent,5
Nausea,5
Transdermal,1
Suppression,1
Blood sampling,1
Lightheadedness,1
Extraction,5
Mass spectrometry,2
Clinical evaluation,3
Nornicotine,6
Relief,2
Nicotine withdrawal,5
Abstinent,3
Anabasine,5
Patch,5
Serum,4
Alkaloid,8
Replacement,5
Source,3
Tissue,1
Delivery,13
Tar,4
Surveillance,3
Carcinogen,2
Mouth,1
Sickness,4
Skin,2
Sampling,2
Decontamination,1
Hand,1
Water,5
Left hand,1
Tobacco smoke,12
Stillbirth,1
Placental abruption,1
Sudden infant death,1
Obesity,1
Gum,8
History of,3
Stopped smoking,1
Irritability,1
Anxiety,1
Restlessness,3
Hunger,2
Insomnia,1
Metabolite,3
Fracture,2
Femoral,2
Stiffness,2
Bone,2
Closed fracture,1
Clinical trials,5
Ammonia,1
Education,2
Personality traits,1
Diagnosis,1
Employment status,1
Reporting,1
Blood pressure,2
Caffeine,1
J2,1
Infection,1
Nasal,1
Probable,1
Camphor,1
Coumarin,1
Eugenol,1
Dopamine,4
Release,5
Venous plasma,2
Withdrawn,2
Hormone,2
Cortisol,1
Prolactin,1
Beta-endorphin,1
Venous blood,1
Opioid,3
Chronic pain,2
Prescription,1
Neurotransmitter,2
Cytochrome P450 enzyme,1
Pain,3
Behavioral therapy,1
Intervention,1
Gas-liquid chromatography,1
Alcohol,2
Chronic pancreatitis,1
Pancreatic cancer,1
Pancreatitis,1
Schizophrenia,1
Alzheimer's disease,1
Parkinson's disease,1
Tourette's syndrome,1
Ulcerative colitis,1
Emission,1
Nylon,1
Cut,1
Artificial saliva,1
Disability,1
Separation,1
Glycopeptide,1
Manipulation,3
Negative,7
T1,1
T2,1
T3,1
Acetylcholine receptor,2
Blocking,1
Cardiovascular disease,1
P-selectin,1
Adhesion,1
Fibrinogen,1
Cigarette smoke,1
Auxin,1
Wound,1
HB,1
Head,1
Honey,1
Glycerin,1
Damage,2
Dizziness,2
Air,2
Tobacco dust,1
Atrazine,1
Herbicide,1
Headache,1
Perspiration,1
Relapse prevention,1
Immune,1
Mass,2
Leukemia,1
Spectrometry,1
Construction,1
Pulmonary,1
Receptor,3
ETHYLENE,1
Hippocampus,3
Positron emission tomography,1
Carfentanil,1
Amygdala,2
Insula,1
Nucleus accumbens,3
Putamen,1
Laboratory test,1
Smoker,1
Callus,1
Mineral,1
Catecholamine,1
Menthol,1
Trigeminal nerve,1
Inflammation,1
Hyperalgesia,1
Positive,2
Capsaicin,1
Sensitivity,1
Analgesic,1
Acute pain,1
Pain threshold,1
Sex,1
Comorbid conditions,1
Impairment,1
Analgesia,1
Nicotinic receptor,2
Elevation,1
Stimulant,1
Central nervous system,1
Carboxylic acid,1
Bright,1
Acetate,1
Malic acid,1
Coal,1
Gamma-aminobutyric acid,2
Amino acid,1
Hypoxia,1
Glutamate decarboxylase,1
Oral mucosa,1
Risk assessment,1
Tyramine,1
Infusion,2
Reinforcement,3
Cigarette smoker,1
Motor area,1
Aids,1
Healthy adult,1
Cerebellum,1
Thalamus,1
Assisting,1
Inflation,1
Coordinated,1
Disorder,1
Carbon monoxide,2
Enzyme,1
Adopted,1
Insecticide,1
Joint,1
Ovary,1
Oxygen,1
Glutathione,1
Malondialdehyde,1
MDA,1
Media,1
Superoxide dismutase,1
Catalase,1
N-acetyl-L-cysteine,1
Lactate dehydrogenase,1
Vomiting,1
Prostration,1
Causative agent,1
Mecamylamine,2
Exposed to tobacco smoke,3
Dentate gyrus,1
Norepinephrine,1
5-hydroxytryptamine,1
Acetylcholine,1
Glutamate,1
New finding,1
Generalized itching,1
Urticaria,1
Skin prick test,1
Dyspnoea,1
Allergen,1
